"","Title","Author_URL","Author_Name","App_Version","Rating","Review","Date"
"1","Took a great app and update is buggy","https://itunes.apple.com/us/reviews/id16019118","n275ay","8.1",1,"On iPad very hard to use bill pay.  App was great  I don’t like the dashboard or bill pay.

Bill pay has too many added steps and not intuitive to find them.",2019-03-15
"2","App not working properly","https://itunes.apple.com/us/reviews/id154090100","adrianopps","8.1",1,"App os not working on my apple watch. App opens, and the instantly closes, not showing my balance.",2019-03-15
"3","Bill Pay","https://itunes.apple.com/us/reviews/id736740736","ARobot90","8.1",1,"Why change the app from being able to pay my bill from the credit card screen and now have to go into the convoluted bill pay feature. Terribly annoying!",2019-03-15
"4","Fix the mobile deposit feature","https://itunes.apple.com/us/reviews/id36107888","Happy Poison","8.0",2,"FFS",2019-03-15
"5"," Watch app completely broken","https://itunes.apple.com/us/reviews/id176290086","Ziurnah","8.1",5,"Everything about this app is great! It continues to be even more polished with each update. 

My one sole concern is the  Watch app. It refuses to load any of my balances, and instead completely crashed upon launch. I’ve tried restarting my watch, uninstalling and reinstalling the watch app, and even updating my watch to a beta version of WatchOS. None of these have solved my issue. Please look into your watch app! I often times find it easier to check balances on my wrist rather than pull my phone out. 

Thanks for a great app nonetheless.

EDIT: Followed the steps detailed in the developer reply and the watch app still does not work. Honestly, I think this might be because I’m using beta versions of WatchOS and iOS. I do recall the watch app working even on earlier beta versions though...very weird. I appreciate BOA reaching out and replying to my review.",2019-03-14
"6","Bank of America","https://itunes.apple.com/us/reviews/id662447705","junior4500","8.1",1,"It is stuck on showing number one on a iPhone XS Max please fix this help please",2019-03-14
"7","Fix it","https://itunes.apple.com/us/reviews/id735893325","311AFtw","8.1",1,"Since your upgrade 1week ago.  I cannot get
Mobile app to load!   Only a message saying mobile app loading!   Well, this message continues indefinitely so, unable to login and use app. Also,  support will not open for help.

Please advise on this matter.   Has worked fine until now.

Thanks

UDATE:    App still not opening to login.  Process for Touch ID NOT working.  If it does load it takes up 4 mins.  Then cannot login.  Please advise  when corrections will be made.  Problems all started last week after your upgrade.

Thanks",2019-03-14
"8","Just ok","https://itunes.apple.com/us/reviews/id486136712","jsleaman2477","8.1",3,"App is functional but not as user friendly as other financial apps",2019-03-14
"9","25 yr customer","https://itunes.apple.com/us/reviews/id985541561","thootster","8.1",5,"I have been a BOA customer for the past 25 years. I choose to stay with them because every time I have needed them they have been there. I have opened my children’s checking accounts when they started working and they have continued to use BOA as well. When my husbands identity was stolen years ago, they were there to help me and guide me throughout the process.",2019-03-14
"10","Apple Watch","https://itunes.apple.com/us/reviews/id412872483","araemack","8.1",1,"I love the mobile app but it’s no longer working on my Apple Watch which has been a real pain. Apple Watch made it easy to check my balance with just a tap and now I have to sign in to the app every time I want to see my balance. 

Edit: did the steps recommended twice and it still don’t work on the watch.",2019-03-14
"11","No longer works on Apple Watch!  Please fix!","https://itunes.apple.com/us/reviews/id187076172","kenlouoa","8.1",4,"Please fix that it no longer works on Apple Watch.  Otherwise, great app.

Rachel:  I tried uninstalling and reinstalling both apps and authorizing Apple Watch in the mobile app and that did NOT fix the issue of the app not working on Apple Watch.",2019-03-14
"12","Having issues","https://itunes.apple.com/us/reviews/id950485996","kite flying","8.1",2,"Ive had boa for years
I used to be able to open on my phone
Now it says I have to have mobile app
Well I cant get mobile app to open
Very frustrating
I gave to ho to my laptop to see my acct and pay my bill
Ive done what Im supposed yo do yo get mobile app and have no success
Why does everything have to be downloaded as an app and take up space on the iphone
I dont want all this to stay on my phone
All i want is to open, work the acct and close it back up
Why is everything so dadgum complicated?",2019-03-14
"13","disappointed","https://itunes.apple.com/us/reviews/id434610994","Beyoncexo","8.1",1,"I've tried logging into my account many times and always enter the correct information it's asking for in the security questions. Although no matter what I do this app makes me make a new password then fill out the same information then says I'm okay to log in and once I'm about to log in guess what I have to go through the same never ending process! I used to check this regularly to monitor my activity and now i have been locked out and this security process is not working what's the point of having this app if a huge hug is not letting me log in 🙄",2019-03-14
"14","BofA Credit Card Payments","https://itunes.apple.com/us/reviews/id733987239","310@nita","8.1",1,"This feature is horrible. If you make a payment it does clear for two or three days which is absurd considering I bank with BofA.",2019-03-14
"15","Hate the new Bill Pay UI","https://itunes.apple.com/us/reviews/id38273906","Sybersell","8.1",1,"Just updated to most recent version of app. Bill Pay is visually cluttered in this new version, where it had previously been streamlined and simple to use. Also, the Bill Pay calendar feature is non-functional - clicking a date does not show the outgoing payments for that date.",2019-03-14
"16","Zelle Problems","https://itunes.apple.com/us/reviews/id370421740","Blf221","8.1",1,"Can barely use zelle. Always freezes!! Very annoying.",2019-03-14
"17","Stop asking if","https://itunes.apple.com/us/reviews/id243270826","dyhvfo","8.1",3,"I would rate this app higher if they would simply stop asking me if I want to say my password every time I use the app.  The app should learn that I’m not interested and stop asking. When I open this app I want to get down to business, not answer old questions.",2019-03-13
"18","Poor","https://itunes.apple.com/us/reviews/id426591120","Missmsnae","8.1",1,"Did work good on my Apple Watch until the update. Can’t access",2019-03-13
"19","bill pay badge","https://itunes.apple.com/us/reviews/id253451816","Fofcheg","8.1",3,"bill pay badge (feb 7 update)
this started after app update (feb  7) - every time i login i see a red badge with number 1 on bill pay tab - looks like a notification or something, but when i tap on it there is nothing there.",2019-03-12
"20","Terrible updated card payment","https://itunes.apple.com/us/reviews/id42514162","Basssel","8.1",3,"The method to pay your card has gone from a breeze to terrible annoying task. Why change what’s working. Adding my card as pay to? Really?",2019-03-12
"21","Nice App","https://itunes.apple.com/us/reviews/id415301744","M@ni😄😊","8.1",5,"Hi, App is good. when I am navigating from home page to deals link, back button disappeared and am not able to do anything except sign out and login again to go back to home dashboard. 
[Edit]
Changing my comment, back button is not needed I still see link below to navigate to home page

 Thanks",2019-03-12
"22","The worst bank","https://itunes.apple.com/us/reviews/id658052729","000_11","8.1",1,"definitely the worst bank, they really are a headache, I have a small business, this bank I do not recommend even if I was crazy",2019-03-12
"23","Please add ‘back’ or ‘cancel’ button to notifications menu","https://itunes.apple.com/us/reviews/id42137806","itschase","8.1",2,"Almost every time I open this app I accidentally hit the notifications button in the upper left corner of the screen. There’s no going back from there. I don’t want notifications- so I have to close and reopen the app to correct my erroneous click. Can’t you just add a back or cancel button so I can have a seamless experience on your app? Thanks!",2019-03-12
"24","Flawed security that will lock you out","https://itunes.apple.com/us/reviews/id563495067","Chase_Guy","8.1",1,"BOA’s version of two step verification leaves you locked out of your account access - they fail to send texts with security code - instead of protecting access to accounts, two step verification denies all access to BOA",2019-03-12
